course_id,course_name,prodi,sks,course_time_minute,course_type,teacher_priority,teacher_position,teacher_id
CIE61403,Paradigma Berpikir Sistem dan Desain,Pendidikan Teknologi Informasi,3,100,Pilihan,1,"Koordinator Pengelola, Pengelola, Pengampu",47
COM60014,Pemrograman Dasar,Pendidikan Teknologi Informasi,5,100,Wajib,1,"Koordinator Pengelola, Pengelola, Pengampu",47
COM60014,Pemrograman Dasar,Sistem Informasi,5,100,Wajib,1,"Koordinator Pengelola, Pengelola, Pengampu",47
COM60014,Pemrograman Dasar,Teknologi Informasi,5,100,Wajib,1,"Koordinator Pengelola, Pengelola, Pengampu",47
CIE61205,Pemrograman Web,Pendidikan Teknologi Informasi,3,100,Wajib,1,"Pengelola, Pengampu",47
COM60016,Pengantar Keilmuan Komputer,Pendidikan Teknologi Informasi,2,100,Pilihan,1,"Koordinator Pengelola, Pengelola, Pengampu",47
COM60016,Pengantar Keilmuan Komputer,Sistem Informasi,2,100,Wajib,1,"Koordinator Pengelola, Pengelola, Pengampu",47
COM60016,Pengantar Keilmuan Komputer,Teknologi Informasi,2,100,Wajib,1,"Koordinator Pengelola, Pengelola, Pengampu",47
CIS61104,Pengantar Sistem informasi,Sistem Informasi,2,100,Wajib,1,"Koordinator Pengelola, Pengelola, Pengampu",47
CIS61110,Pengembangan Aplikasi Mobile,Sistem Informasi,3,100,Wajib,1,"Pengelola, Pengampu",47
CIT60052,Pengembangan Aplikasi Mobile Terapan,Teknologi Informasi,3,100,Pilihan,2,"Pengelola, Pengampu",47
CIS60102,Pengembangan Aplikasi Multiplatform,Sistem Informasi,2,100,Pilihan,1,"Pengelola, Pengampu",47
CIE61215,Pengembangan Aplikasi Peranti Bergerak,Pendidikan Teknologi Informasi,3,100,Pilihan,1,"Pengelola, Pengampu",47
CIT61006,Pengembangan Aplikasi Web,Teknologi Informasi,4,100,Wajib,1,"Pengelola, Pengampu",47
CIT60039,Pengembangan Aplikasi Web Lanjut,Teknologi Informasi,3,100,Pilihan,1,"Pengelola, Pengampu",47
CIS61124,Pengembangan Gim,Sistem Informasi,2,100,Pilihan,1,"Pengelola, Pengampu",47
CIE61113,Pengembangan Program Pelatihan Teknologi Informasi,Pendidikan Teknologi Informasi,3,100,Pilihan,1,"Pengelola, Pengampu",47
CSD60711,Perancangan Pengalaman Pengguna,Teknologi Informasi,3,100,Pilihan,1,"Koordinator Pengelola, Pengelola, Pengampu",47
CIS60101,Perkembangan dan Tren Teknologi Digital,Sistem Informasi,2,100,Pilihan,1,"Pengelola, Pengampu",47
CIS61108,Rekayasa Sistem Informasi,Sistem Informasi,5,100,Wajib,1,"Pengelola, Pengampu",47
CIT60042,Teknologi Blockchain dan Platform Keuangan Digital,Teknologi Informasi,2,100,Pilihan,1,"Pengelola, Pengampu",47
CIT60051,Teknologi Smart City,Teknologi Informasi,2,100,Pilihan,1,"Koordinator Pengelola, Pengelola, Pengampu",47
CIS60104,Transformasi Pemerintah,Sistem Informasi,2,100,Pilihan,2,"Koordinator Pengelola, Pengelola, Pengampu",47
CSD60707,Big Data dan Analitik,Teknologi Informasi,3,100,Pilihan,1,Pengampu,48
COM60061,Capstone Project,Pendidikan Teknologi Informasi,3,100,Wajib,2,Pengampu,48
COM60061,Capstone Project,Teknologi Informasi,3,100,Wajib,1,Pengampu,48
CIT60031,Manajemen Proyek Teknologi Informasi,Teknologi Informasi,3,100,Pilihan,1,Pengampu,48
CSD60707,Big Data dan Analitik,Teknologi Informasi,3,100,Pilihan,1,"Pengelola, Pengampu",52
CIT60048,Information Retrieval,Teknologi Informasi,2,100,Pilihan,1,"Pengelola, Pengampu",52
CSD60708,Penambangan Data,Teknologi Informasi,3,100,Pilihan,1,Pengampu,52
CIS60106,Sistem Informasi Berkelanjutan,Sistem Informasi,2,100,Pilihan,1,"Koordinator Pengelola, Pengelola, Pengampu",53
CIS60105,Strategi Transformasi Digital,Sistem Informasi,2,100,Pilihan,1,"Koordinator Pengelola, Pengelola, Pengampu",53
CSD60711,Perancangan Pengalaman Pengguna,Teknologi Informasi,3,100,Pilihan,1,"Pengelola, Pengampu",55
CIT60051,Teknologi Smart City,Teknologi Informasi,2,100,Pilihan,2,Pengampu,58
CIE61114,Pendidikan Orang Dewasa dan Berkelanjutan,Pendidikan Teknologi Informasi,3,100,Pilihan,2,Pengampu,59
CIE61111,Pengenalan Lapangan Persekolahan 1,Pendidikan Teknologi Informasi,1,100,Wajib,2,Pengampu,59
CIE61112,Pengenalan Lapangan Persekolahan 2,Pendidikan Teknologi Informasi,3,100,Wajib,2,Pengampu,59
CIE61101,Perkembangan Peserta Didik,Pendidikan Teknologi Informasi,3,100,Wajib,2,Pengampu,59
CIE61208,Basis Data,Pendidikan Teknologi Informasi,3,100,Wajib,1,Pengampu,60
CSD60714,Jaminan Kualitas Perangkat Lunak,Teknologi Informasi,3,100,Pilihan,1,Pengampu,60
CIS61107,Manajemen Produk,Sistem Informasi,3,100,Wajib,1,"Pengelola, Pengampu",60
CIE61404,Manajemen Proyek Teknologi Informasi,Pendidikan Teknologi Informasi,3,100,Pilihan,1,Pengampu,60
CSD60705,Pemrograman SQL,Teknologi Informasi,3,100,Wajib,1,Pengampu,60
CIS61110,Pengembangan Aplikasi Mobile,Sistem Informasi,3,100,Wajib,1,Pengampu,60
CIT61006,Pengembangan Aplikasi Web,Teknologi Informasi,4,100,Wajib,1,Pengampu,60
CSD60711,Perancangan Pengalaman Pengguna,Teknologi Informasi,3,100,Pilihan,1,Pengampu,60
UBU60003,Kewirausahaan,Pendidikan Teknologi Informasi,2,100,Wajib,2,Pengampu,62
UBU60003,Kewirausahaan,Teknologi Informasi,2,100,Wajib,2,Pengampu,62
CIE61404,Manajemen Proyek Teknologi Informasi,Pendidikan Teknologi Informasi,3,100,Pilihan,2,Pengampu,62
COM60016,Pengantar Keilmuan Komputer,Teknologi Informasi,2,100,Wajib,2,Pengampu,62
CIT61006,Pengembangan Aplikasi Web,Teknologi Informasi,4,100,Wajib,2,Pengampu,62
CSD60711,Perancangan Pengalaman Pengguna,Teknologi Informasi,3,100,Pilihan,1,Pengampu,62
CIT60044,Keamanan Data dan Privasi,Teknologi Informasi,3,100,Pilihan,1,Pengampu,63
CIT60044,Keamanan Data dan Privasi,Teknologi Informasi,3,100,Pilihan,1,Pengampu,65
CIS61112,Dasar Manajemen Proyek,Sistem Informasi,2,100,Wajib,1,Pengampu,67
CIT62003,Dasar Pengembangan Sistem informasi,Teknologi Informasi,3,100,Wajib,1,Pengampu,67
CSD60714,Jaminan Kualitas Perangkat Lunak,Teknologi Informasi,3,100,Pilihan,1,Pengampu,67
CIE61404,Manajemen Proyek Teknologi Informasi,Pendidikan Teknologi Informasi,3,100,Pilihan,1,Pengampu,67
COM60014,Pemrograman Dasar,Pendidikan Teknologi Informasi,5,100,Wajib,1,Pengampu,67
COM60014,Pemrograman Dasar,Sistem Informasi,5,100,Wajib,1,Pengampu,67
COM60014,Pemrograman Dasar,Teknologi Informasi,5,100,Wajib,2,Pengampu,67
CIS61104,Pengantar Sistem informasi,Sistem Informasi,2,100,Wajib,1,Pengampu,67
CIS62109,Pengujian dan Evaluasi Sistem Informasi,Sistem Informasi,2,100,Pilihan,1,Pengampu,67
CIS61108,Rekayasa Sistem Informasi,Sistem Informasi,5,100,Wajib,1,Pengampu,67
CIT60051,Teknologi Smart City,Teknologi Informasi,2,100,Pilihan,1,Pengampu,67
CIS60102,Pengembangan Aplikasi Multiplatform,Sistem Informasi,2,100,Pilihan,2,Pengampu,70
CSD60706,Administrasi Basis Data,Sistem Informasi,3,100,Wajib,1,"Koordinator Pengelola, Pengelola, Pengampu",72
CSD60704,Desain Basis Data,Sistem Informasi,2,100,Wajib,1,"Pengelola, Pengampu",72
