
--- Running Puma Optimization Algorithm with MLflow Logging ---
POA Generation 149/300 | Current Best Fitness: 1783 | Violations: 7
POA Generation 150/300 | Current Best Fitness: 1781 | Violations: 7
POA Generation 151/300 | Current Best Fitness: 1780 | Violations: 7
POA Generation 152/300 | Current Best Fitness: 1770 | Violations: 7
POA Generation 153/300 | Current Best Fitness: 1677 | Violations: 6
POA Generation 154/300 | Current Best Fitness: 1675 | Violations: 6
POA Generation 155/300 | Current Best Fitness: 1673 | Violations: 6
POA Generation 156/300 | Current Best Fitness: 1672 | Violations: 6
POA Generation 157/300 | Current Best Fitness: 1672 | Violations: 6
POA Generation 158/300 | Current Best Fitness: 1577 | Violations: 5
POA Generation 159/300 | Current Best Fitness: 1571 | Violations: 5
POA Generation 160/300 | Current Best Fitness: 1565 | Violations: 5
POA Generation 161/300 | Current Best Fitness: 1565 | Violations: 5
POA Generation 162/300 | Current Best Fitness: 1565 | Violations: 5
POA Generation 163/300 | Current Best Fitness: 1563 | Violations: 5
POA Generation 164/300 | Current Best Fitness: 1560 | Violations: 5
POA Generation 165/300 | Current Best Fitness: 1558 | Violations: 5
POA Generation 166/300 | Current Best Fitness: 1558 | Violations: 5
POA Generation 167/300 | Current Best Fitness: 1545 | Violations: 5
POA Generation 168/300 | Current Best Fitness: 1538 | Violations: 5
POA Generation 169/300 | Current Best Fitness: 1530 | Violations: 5
POA Generation 170/300 | Current Best Fitness: 1528 | Violations: 5
POA Generation 171/300 | Current Best Fitness: 1528 | Violations: 5
POA Generation 172/300 | Current Best Fitness: 1528 | Violations: 5
POA Generation 173/300 | Current Best Fitness: 1526 | Violations: 5
POA Generation 174/300 | Current Best Fitness: 1524 | Violations: 5
POA Generation 175/300 | Current Best Fitness: 1524 | Violations: 5
POA Generation 176/300 | Current Best Fitness: 1519 | Violations: 5
POA Generation 177/300 | Current Best Fitness: 1519 | Violations: 5
POA Generation 178/300 | Current Best Fitness: 1517 | Violations: 5
POA Generation 179/300 | Current Best Fitness: 1517 | Violations: 5
POA Generation 180/300 | Current Best Fitness: 1517 | Violations: 5
POA Generation 181/300 | Current Best Fitness: 1509 | Violations: 5
POA Generation 182/300 | Current Best Fitness: 1409 | Violations: 4
POA Generation 183/300 | Current Best Fitness: 1404 | Violations: 4
POA Generation 184/300 | Current Best Fitness: 1402 | Violations: 4
POA Generation 185/300 | Current Best Fitness: 1402 | Violations: 4
POA Generation 186/300 | Current Best Fitness: 1402 | Violations: 4
POA Generation 187/300 | Current Best Fitness: 1402 | Violations: 4
POA Generation 188/300 | Current Best Fitness: 1397 | Violations: 4
POA Generation 189/300 | Current Best Fitness: 1390 | Violations: 4
POA Generation 190/300 | Current Best Fitness: 1390 | Violations: 4
POA Generation 191/300 | Current Best Fitness: 1390 | Violations: 4
POA Generation 192/300 | Current Best Fitness: 1388 | Violations: 4
POA Generation 193/300 | Current Best Fitness: 1388 | Violations: 4
POA Generation 194/300 | Current Best Fitness: 1290 | Violations: 3
POA Generation 195/300 | Current Best Fitness: 1288 | Violations: 3
POA Generation 196/300 | Current Best Fitness: 1288 | Violations: 3
POA Generation 197/300 | Current Best Fitness: 1288 | Violations: 3
POA Generation 198/300 | Current Best Fitness: 1286 | Violations: 3
POA Generation 199/300 | Current Best Fitness: 1278 | Violations: 3
POA Generation 200/300 | Current Best Fitness: 1278 | Violations: 3
POA Generation 201/300 | Current Best Fitness: 1278 | Violations: 3
POA Generation 202/300 | Current Best Fitness: 1276 | Violations: 3
POA Generation 203/300 | Current Best Fitness: 1176 | Violations: 2
POA Generation 204/300 | Current Best Fitness: 1176 | Violations: 2
POA Generation 205/300 | Current Best Fitness: 1176 | Violations: 2
POA Generation 206/300 | Current Best Fitness: 1085 | Violations: 1
POA Generation 207/300 | Current Best Fitness: 1085 | Violations: 1
POA Generation 208/300 | Current Best Fitness: 1085 | Violations: 1
POA Generation 209/300 | Current Best Fitness: 1085 | Violations: 1
POA Generation 210/300 | Current Best Fitness: 987 | Violations: 0
POA Generation 211/300 | Current Best Fitness: 985 | Violations: 0
POA Generation 212/300 | Current Best Fitness: 985 | Violations: 0
POA Generation 213/300 | Current Best Fitness: 985 | Violations: 0
POA Generation 214/300 | Current Best Fitness: 985 | Violations: 0
POA Generation 215/300 | Current Best Fitness: 985 | Violations: 0
POA Generation 216/300 | Current Best Fitness: 985 | Violations: 0
POA Generation 217/300 | Current Best Fitness: 984 | Violations: 0
POA Generation 218/300 | Current Best Fitness: 982 | Violations: 0
POA Generation 219/300 | Current Best Fitness: 980 | Violations: 0
POA Generation 220/300 | Current Best Fitness: 980 | Violations: 0
POA Generation 221/300 | Current Best Fitness: 980 | Violations: 0
POA Generation 222/300 | Current Best Fitness: 980 | Violations: 0
POA Generation 223/300 | Current Best Fitness: 980 | Violations: 0
POA Generation 224/300 | Current Best Fitness: 980 | Violations: 0
POA Generation 225/300 | Current Best Fitness: 980 | Violations: 0
POA Generation 226/300 | Current Best Fitness: 980 | Violations: 0
POA Generation 227/300 | Current Best Fitness: 980 | Violations: 0
POA Generation 228/300 | Current Best Fitness: 980 | Violations: 0
POA Generation 229/300 | Current Best Fitness: 980 | Violations: 0
POA Generation 230/300 | Current Best Fitness: 980 | Violations: 0
POA Generation 231/300 | Current Best Fitness: 980 | Violations: 0
POA Generation 232/300 | Current Best Fitness: 980 | Violations: 0
POA Generation 233/300 | Current Best Fitness: 980 | Violations: 0
POA Generation 234/300 | Current Best Fitness: 980 | Violations: 0
POA Generation 235/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 236/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 237/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 238/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 239/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 240/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 241/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 242/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 243/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 244/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 245/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 246/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 247/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 248/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 249/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 250/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 251/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 252/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 253/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 254/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 255/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 256/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 257/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 258/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 259/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 260/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 261/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 262/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 263/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 264/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 265/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 266/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 267/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 268/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 269/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 270/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 271/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 272/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 273/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 274/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 275/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 276/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 277/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 278/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 279/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 280/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 281/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 282/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 283/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 284/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 285/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 286/300 | Current Best Fitness: 975 | Violations: 0
POA Generation 287/300 | Current Best Fitness: 969 | Violations: 0
POA Generation 288/300 | Current Best Fitness: 969 | Violations: 0
POA Generation 289/300 | Current Best Fitness: 969 | Violations: 0
POA Generation 290/300 | Current Best Fitness: 969 | Violations: 0
POA Generation 291/300 | Current Best Fitness: 969 | Violations: 0
POA Generation 292/300 | Current Best Fitness: 969 | Violations: 0
POA Generation 293/300 | Current Best Fitness: 969 | Violations: 0
POA Generation 294/300 | Current Best Fitness: 969 | Violations: 0
POA Generation 295/300 | Current Best Fitness: 969 | Violations: 0
POA Generation 296/300 | Current Best Fitness: 969 | Violations: 0
POA Generation 297/300 | Current Best Fitness: 969 | Violations: 0
POA Generation 298/300 | Current Best Fitness: 969 | Violations: 0
POA Generation 299/300 | Current Best Fitness: 969 | Violations: 0
POA Generation 300/300 | Current Best Fitness: 969 | Violations: 0

--- POA Run Finished ---
Final Best Fitness: 969
Final Hard Constraint Violations: 0
