kode_mk,nama_mk,prodi,prioritas,berminat,dosen_id,dosen_list,jenis,ruang,waktu
CIS61103,Manajemen Bisnis,Sistem Informasi,1,Pengampu,108.0,['108.0'],reguler,F2.8,Selasa_13:40-14:30
CIS61104,Pengantar Sistem informasi,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47.0,['47.0'],reguler,F4.2,Jumat_08:40-09:30
CIS61104,Pengantar Sistem informasi,Sistem Informasi,1,"Pengelola, Pengampu",108.0,['108.0'],reguler,F3.13,Jumat_08:40-09:30
CIS61104,Pengantar Sistem informasi,Sistem Informasi,1,Pengampu,67.0,['67.0'],reguler,F11.3,Selasa_07:50-08:40
CIS61104,Pengantar Sistem informasi,Sistem Informasi,1,Pengampu,102.0,['102.0'],reguler,F4.4,Jumat_14:30-15:20
CIS61106,Keamanan dan Privasi Data,Sistem Informasi,1,Pengampu,17.0,['17.0'],reguler,F4.11,Senin_17:50-18:40
CIS61106,Keamanan dan Privasi Data,Sistem Informasi,1,Pengampu,75.0,['75.0'],reguler,F3.5b,Rabu_16:10-17:00
CIS61106,Keamanan dan Privasi Data,Sistem Informasi,1,Pengampu,108.0,['108.0'],reguler,F4.5,Kamis_16:10-17:00
CIS61107,Manajemen Produk,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47.0,['47.0'],reguler,F3.2,Jumat_14:30-15:20
CIS61107,Manajemen Produk,Sistem Informasi,1,"Pengelola, Pengampu",60.0,['60.0'],reguler,F3.1,Kamis_15:20-16:10
CIS61108,Rekayasa Sistem Informasi,Sistem Informasi,1,"Pengelola, Pengampu",4.0,['4.0'],reguler,F3.12,Kamis_16:10-17:00
CIS61108,Rekayasa Sistem Informasi,Sistem Informasi,1,"Pengelola, Pengampu",47.0,['47.0'],reguler,F3.1,Jumat_09:30-10:20
CIS61108,Rekayasa Sistem Informasi,Sistem Informasi,1,Pengampu,67.0,['67.0'],reguler,F3.7a,Selasa_14:30-15:20
CIS61108,Rekayasa Sistem Informasi,Sistem Informasi,2,Pengampu,108.0,['108.0'],reguler,F3.14,Kamis_10:20-11:10
CIS61110,Pengembangan Aplikasi Mobile,Sistem Informasi,1,"Pengelola, Pengampu",4.0,['4.0'],reguler,F11.3,Selasa_12:00-12:50
CIS61110,Pengembangan Aplikasi Mobile,Sistem Informasi,1,"Pengelola, Pengampu",47.0,['47.0'],reguler,F2.4,Jumat_07:00-07:50
CIS61110,Pengembangan Aplikasi Mobile,Sistem Informasi,1,Pengampu,31.0,['31.0'],reguler,F3.10,Senin_16:10-17:00
CIS61110,Pengembangan Aplikasi Mobile,Sistem Informasi,1,Pengampu,60.0,['60.0'],reguler,F3.5a,Jumat_11:15-12:05_AGAMA_KHUSUS
CIS61110,Pengembangan Aplikasi Mobile,Sistem Informasi,1,Pengampu,75.0,['75.0'],reguler,F2.6,Selasa_12:00-12:50
CIS61111,Sistem Informasi berbasis Kecerdasan Buatan,Sistem Informasi,1,Pengampu,87.0,['87.0'],reguler,F3.12,Kamis_12:50-13:40
CIS61111,Sistem Informasi berbasis Kecerdasan Buatan,Sistem Informasi,2,Pengampu,89.0,['89.0'],reguler,F2.5,Selasa_12:50-13:40
CIS61111,Sistem Informasi berbasis Kecerdasan Buatan,Sistem Informasi,2,Pengampu,108.0,['108.0'],reguler,F3.7a,Rabu_07:50-08:40
CIS61112,Dasar Manajemen Proyek,Sistem Informasi,1,"Pengelola, Pengampu",47.0,['47.0'],reguler,F3.3,Jumat_17:50-18:40
CIS61112,Dasar Manajemen Proyek,Sistem Informasi,1,Pengampu,6.0,['6.0'],reguler,F4.11,Senin_07:00-07:50
CIS61112,Dasar Manajemen Proyek,Sistem Informasi,1,Pengampu,67.0,['67.0'],reguler,F3.9,Selasa_14:30-15:20
CIS61112,Dasar Manajemen Proyek,Sistem Informasi,1,Pengampu,76.0,['76.0'],reguler,F3.3,Kamis_08:40-09:30
CIS61112,Dasar Manajemen Proyek,Sistem Informasi,1,Pengampu,87.0,['87.0'],reguler,F4.12,Selasa_12:50-13:40
CIS61112,Dasar Manajemen Proyek,Sistem Informasi,1,Pengampu,102.0,['102.0'],reguler,F4.11,Kamis_10:20-11:10
CIS61113,Sistem Enterprise,Sistem Informasi,1,Pengampu,76.0,['76.0'],reguler,F2.9,Rabu_14:30-15:20
CIS61115,Komunikasi Profesional,Sistem Informasi,1,Pengampu,87.0,['87.0'],reguler,F4.2,Senin_14:30-15:20
CIS61115,Komunikasi Profesional,Sistem Informasi,1,Pengampu,108.0,['108.0'],reguler,F4.10,Jumat_14:30-15:20
CIS61118,Rekayasa Kebutuhan Sistem Informasi,Sistem Informasi,1,"Pengelola, Pengampu",4.0,['4.0'],reguler,F4.4,Rabu_10:20-11:10
CIS61119,Manajemen Risiko dan Kontrol Sistem Informasi,Sistem Informasi,1,Pengampu,6.0,['6.0'],reguler,F11.4,Rabu_08:40-09:30
CIS61119,Manajemen Risiko dan Kontrol Sistem Informasi,Sistem Informasi,2,"Pengelola, Pengampu",47.0,['47.0'],reguler,F3.11,Kamis_12:00-12:50
CIS61120,Perbaikan Proses Bisnis,Sistem Informasi,1,Pengampu,6.0,['6.0'],reguler,F9.2,Selasa_12:50-13:40
CIS61120,Perbaikan Proses Bisnis,Sistem Informasi,1,Pengampu,108.0,['108.0'],reguler,F3.14,Rabu_12:00-12:50
CIS61123,Enterprise Architecture II,Sistem Informasi,1,Pengampu,76.0,['76.0'],reguler,F4.13,Rabu_17:00-17:50
CIS61123,Enterprise Architecture II,Sistem Informasi,1,Pengampu,87.0,['87.0'],reguler,F2.8,Jumat_17:50-18:40
CIS61123,Enterprise Architecture II,Sistem Informasi,2,Pengampu,6.0,['6.0'],reguler,F3.1,Senin_07:50-08:40
CIS61124,Pengembangan Gim,Sistem Informasi,1,"Pengelola, Pengampu",47.0,['47.0'],reguler,F3.16,Rabu_09:30-10:20
CIS61124,Pengembangan Gim,Sistem Informasi,2,Pengampu,103.0,['103.0'],reguler,F3.17,Selasa_12:50-13:40
CIS61125,Pengantar GeoInformasi,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",87.0,['87.0'],reguler,F2.8,Selasa_12:50-13:40
CIS61127,Pengembangan Berorientasi Penggunaan Ulang,Sistem Informasi,1,"Pengelola, Pengampu",4.0,['4.0'],reguler,F9.1,Kamis_08:40-09:30
CIS61128,Keamanan Jaringan dan Siber,Sistem Informasi,1,Pengampu,17.0,['17.0'],reguler,F3.9,Senin_12:50-13:40
CIS62102,Desain Antar Muka Pengguna,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",22.0,['22.0'],reguler,F2.9,Jumat_09:30-10:20
CIS62102,Desain Antar Muka Pengguna,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",45.0,['45.0'],reguler,F3.16,Rabu_17:00-17:50
CIS62102,Desain Antar Muka Pengguna,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47.0,['47.0'],reguler,F3.10,Rabu_07:50-08:40
