
--- Running Puma Optimization Algorithm with MLflow Logging ---
POA Generation 208/500 | Current Best Fitness: 1594 | Violations: 6
POA Generation 209/500 | Current Best Fitness: 1594 | Violations: 6
POA Generation 210/500 | Current Best Fitness: 1588 | Violations: 6
POA Generation 211/500 | Current Best Fitness: 1588 | Violations: 6
POA Generation 212/500 | Current Best Fitness: 1493 | Violations: 5
POA Generation 213/500 | Current Best Fitness: 1493 | Violations: 5
POA Generation 214/500 | Current Best Fitness: 1491 | Violations: 5
POA Generation 215/500 | Current Best Fitness: 1491 | Violations: 5
POA Generation 216/500 | Current Best Fitness: 1491 | Violations: 5
POA Generation 217/500 | Current Best Fitness: 1491 | Violations: 5
POA Generation 218/500 | Current Best Fitness: 1486 | Violations: 5
POA Generation 219/500 | Current Best Fitness: 1486 | Violations: 5
POA Generation 220/500 | Current Best Fitness: 1486 | Violations: 5
POA Generation 221/500 | Current Best Fitness: 1481 | Violations: 5
POA Generation 222/500 | Current Best Fitness: 1479 | Violations: 5
POA Generation 223/500 | Current Best Fitness: 1479 | Violations: 5
POA Generation 224/500 | Current Best Fitness: 1477 | Violations: 5
POA Generation 225/500 | Current Best Fitness: 1477 | Violations: 5
POA Generation 226/500 | Current Best Fitness: 1477 | Violations: 5
POA Generation 227/500 | Current Best Fitness: 1477 | Violations: 5
POA Generation 228/500 | Current Best Fitness: 1477 | Violations: 5
POA Generation 229/500 | Current Best Fitness: 1477 | Violations: 5
POA Generation 230/500 | Current Best Fitness: 1477 | Violations: 5
POA Generation 231/500 | Current Best Fitness: 1475 | Violations: 5
POA Generation 232/500 | Current Best Fitness: 1475 | Violations: 5
POA Generation 233/500 | Current Best Fitness: 1475 | Violations: 5
POA Generation 234/500 | Current Best Fitness: 1475 | Violations: 5
POA Generation 235/500 | Current Best Fitness: 1475 | Violations: 5
POA Generation 236/500 | Current Best Fitness: 1475 | Violations: 5
POA Generation 237/500 | Current Best Fitness: 1475 | Violations: 5
POA Generation 238/500 | Current Best Fitness: 1475 | Violations: 5
POA Generation 239/500 | Current Best Fitness: 1475 | Violations: 5
POA Generation 240/500 | Current Best Fitness: 1475 | Violations: 5
POA Generation 241/500 | Current Best Fitness: 1475 | Violations: 5
POA Generation 242/500 | Current Best Fitness: 1475 | Violations: 5
POA Generation 243/500 | Current Best Fitness: 1475 | Violations: 5
POA Generation 244/500 | Current Best Fitness: 1375 | Violations: 4
POA Generation 245/500 | Current Best Fitness: 1375 | Violations: 4
POA Generation 246/500 | Current Best Fitness: 1375 | Violations: 4
POA Generation 247/500 | Current Best Fitness: 1373 | Violations: 4
POA Generation 248/500 | Current Best Fitness: 1373 | Violations: 4
POA Generation 249/500 | Current Best Fitness: 1373 | Violations: 4
POA Generation 250/500 | Current Best Fitness: 1373 | Violations: 4
POA Generation 251/500 | Current Best Fitness: 1373 | Violations: 4
POA Generation 252/500 | Current Best Fitness: 1373 | Violations: 4
POA Generation 253/500 | Current Best Fitness: 1373 | Violations: 4
POA Generation 254/500 | Current Best Fitness: 1373 | Violations: 4
POA Generation 255/500 | Current Best Fitness: 1373 | Violations: 4
POA Generation 256/500 | Current Best Fitness: 1373 | Violations: 4
POA Generation 257/500 | Current Best Fitness: 1373 | Violations: 4
POA Generation 258/500 | Current Best Fitness: 1373 | Violations: 4
POA Generation 259/500 | Current Best Fitness: 1373 | Violations: 4
POA Generation 260/500 | Current Best Fitness: 1373 | Violations: 4
POA Generation 261/500 | Current Best Fitness: 1373 | Violations: 4
POA Generation 262/500 | Current Best Fitness: 1373 | Violations: 4
POA Generation 263/500 | Current Best Fitness: 1373 | Violations: 4
POA Generation 264/500 | Current Best Fitness: 1373 | Violations: 4
POA Generation 265/500 | Current Best Fitness: 1373 | Violations: 4
POA Generation 266/500 | Current Best Fitness: 1373 | Violations: 4
POA Generation 267/500 | Current Best Fitness: 1373 | Violations: 4
POA Generation 268/500 | Current Best Fitness: 1373 | Violations: 4
POA Generation 269/500 | Current Best Fitness: 1373 | Violations: 4
POA Generation 270/500 | Current Best Fitness: 1373 | Violations: 4
POA Generation 271/500 | Current Best Fitness: 1373 | Violations: 4
POA Generation 272/500 | Current Best Fitness: 1373 | Violations: 4
POA Generation 273/500 | Current Best Fitness: 1282 | Violations: 3
POA Generation 274/500 | Current Best Fitness: 1282 | Violations: 3
POA Generation 275/500 | Current Best Fitness: 1282 | Violations: 3
POA Generation 276/500 | Current Best Fitness: 1282 | Violations: 3
POA Generation 277/500 | Current Best Fitness: 1282 | Violations: 3
POA Generation 278/500 | Current Best Fitness: 1282 | Violations: 3
POA Generation 279/500 | Current Best Fitness: 1282 | Violations: 3
POA Generation 280/500 | Current Best Fitness: 1282 | Violations: 3
POA Generation 281/500 | Current Best Fitness: 1184 | Violations: 2
POA Generation 282/500 | Current Best Fitness: 1184 | Violations: 2
POA Generation 283/500 | Current Best Fitness: 1184 | Violations: 2
POA Generation 284/500 | Current Best Fitness: 1184 | Violations: 2
POA Generation 285/500 | Current Best Fitness: 1175 | Violations: 2
POA Generation 286/500 | Current Best Fitness: 1175 | Violations: 2
POA Generation 287/500 | Current Best Fitness: 1175 | Violations: 2
POA Generation 288/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 289/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 290/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 291/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 292/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 293/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 294/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 295/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 296/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 297/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 298/500 | Current Best Fitness: 1173 | Violations: 2
