
--- Menjalankan Puma Optimization Algorithm ---
POA Generation 195/200 | Best Fitness: 17457 | Hard Violations: 172
POA Generation 196/200 | Best Fitness: 17445 | Hard Violations: 172
POA Generation 197/200 | Best Fitness: 17236 | Hard Violations: 170
POA Generation 198/200 | Best Fitness: 17524 | Hard Violations: 173
POA Generation 199/200 | Best Fitness: 17333 | Hard Violations: 171
POA Generation 200/200 | Best Fitness: 17333 | Hard Violations: 171

--- Hasil POA ---
Skor Fitness Terbaik: 17436
Jumlah Pelanggaran Hard Constraint: 172
Jadwal terbaik dari POA disimpan sebagai 'jadwal_poa.csv'
