kode_mk,nama_mk,prodi,prioritas,berminat,dosen_id,dosen_list,jenis,ruang,waktu
CIS61125,Pengantar GeoInformasi,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",87.0,['87.0'],reguler,F4.9,Kamis_17:50-18:40
CIS61127,Pengembangan Berorientasi Penggunaan Ulang,Sistem Informasi,1,"Pengelola, Pengampu",4.0,['4.0'],reguler,F3.4,Rabu_08:40-09:30
CIS61128,Keamanan Jaringan dan Siber,Sistem Informasi,1,Pengampu,17.0,['17.0'],reguler,F3.9,Rabu_07:00-07:50
CIS62102,Desain Antar Muka Pengguna,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",22.0,"['22.0', '45.0', '47.0', '4.0', '16.0', '12.0', '37.0', '62.0', '87.0', '70.0']",reguler,F3.1,Selasa_15:20-16:10
CIS62103,Jaringan dan Komputasi Awan,Sistem Informasi,1,Pengampu,16.0,"['16.0', '17.0', '20.0', '41.0', '75.0', '21.0', '65.0', '79.0']",reguler,F11.4,Kamis_11:10-12:00
CIS62104,Pemodelan Proses Bisnis,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",13.0,"['13.0', '53.0', '6.0', '16.0', '49.0', '55.0', '108.0']",reguler,F2.2,Rabu_15:20-16:10
CIS62105,Pengantar Sains Data,Sistem Informasi,1,"Pengelola, Pengampu",16.0,"['16.0', '52.0', '72.0', '73.0', '94.0', '20.0', '37.0', '63.0', 'Belum Ada Dosen', '80.0', '87.0', '92.0', '97.0', '102.0', '11.0', '21.0', '89.0']",reguler,F3.10,Senin_11:10-12:00
CIS62106,Pemrograman Web,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",16.0,"['16.0', '4.0', '22.0', '47.0', '1.0', '31.0', '37.0', '75.0', '82.0', '98.0', '105.0', '70.0', '103.0']",reguler,F2.4,Rabu_07:00-07:50
CIS62108,Enterprise Architecture I,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",13.0,"['13.0', '6.0', '55.0', '62.0', '76.0', '87.0', 'Belum Ada Dosen']",reguler,F3.18,Rabu_07:50-08:40
CIS62109,Pengujian dan Evaluasi Sistem Informasi,Sistem Informasi,1,"Pengelola, Pengampu",4.0,"['4.0', '67.0']",reguler,F3.9,Jumat_08:40-09:30
