
--- Running Puma Optimization Algorithm with MLflow Logging ---
POA Generation 81/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 82/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 83/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 84/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 85/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 86/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 87/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 88/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 89/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 90/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 91/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 92/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 93/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 94/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 95/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 96/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 97/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 98/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 99/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 100/100 | Current Best Fitness: 336 | Violations: 0

--- POA Run Finished ---
Final Best Fitness: 336
Final Hard Constraint Violations: 0
