kode_mk,nama_mk,prodi,prioritas,berminat,dosen_id,dosen_list,jenis,ruang,waktu
CIE62118,Sistem Pembelajaran Bergamifikasi dan Terpersonalisasi,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47.0,['47.0'],reguler,F4.11,Selasa_13:40-14:30
CIE62118,Sistem Pembelajaran Bergamifikasi dan Terpersonalisasi,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",103.0,['103.0'],reguler,F3.11,Kamis_07:00-07:50
CIE62118,Sistem Pembelajaran Bergamifikasi dan Terpersonalisasi,Pendidikan Teknologi Informasi,1,Pengampu,40.0,['40.0'],reguler,F2.6,Rabu_13:40-14:30
CIE62118,Sistem Pembelajaran Bergamifikasi dan Terpersonalisasi,Pendidikan Teknologi Informasi,2,Pengampu,16.0,['16.0'],reguler,F4.11,Jumat_17:00-17:50
CIE62118,Sistem Pembelajaran Bergamifikasi dan Terpersonalisasi,Pendidikan Teknologi Informasi,2,Pengampu,Belum Ada Dosen,['Belum Ada Dosen'],reguler,F3.15,Senin_16:10-17:00
CIE62201,Perancangan Antarmuka Pengguna,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",22.0,['22.0'],reguler,F3.9,Senin_14:30-15:20
CIE62201,Perancangan Antarmuka Pengguna,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",45.0,['45.0'],reguler,F9.1,Senin_12:50-13:40
CIE62201,Perancangan Antarmuka Pengguna,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47.0,['47.0'],reguler,F3.16,Senin_07:50-08:40
CIE62201,Perancangan Antarmuka Pengguna,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",4.0,['4.0'],reguler,F4.7,Rabu_08:40-09:30
CIE62201,Perancangan Antarmuka Pengguna,Pendidikan Teknologi Informasi,1,Pengampu,16.0,['16.0'],reguler,F4.6,Selasa_14:30-15:20
CIE62201,Perancangan Antarmuka Pengguna,Pendidikan Teknologi Informasi,1,Pengampu,60.0,['60.0'],reguler,F3.2,Senin_12:00-12:50
CIE62201,Perancangan Antarmuka Pengguna,Pendidikan Teknologi Informasi,1,Pengampu,62.0,['62.0'],reguler,F2.4,Rabu_09:30-10:20
CIE62201,Perancangan Antarmuka Pengguna,Pendidikan Teknologi Informasi,1,Pengampu,Belum Ada Dosen,['Belum Ada Dosen'],reguler,F3.10,Rabu_11:10-12:00
CIE62201,Perancangan Antarmuka Pengguna,Pendidikan Teknologi Informasi,2,Pengampu,12.0,['12.0'],reguler,F4.12,Jumat_15:20-16:10
CIE62201,Perancangan Antarmuka Pengguna,Pendidikan Teknologi Informasi,2,Pengampu,98.0,['98.0'],reguler,F11.1,Jumat_17:00-17:50
CIE62202,Teknologi Platform,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",17.0,['17.0'],reguler,F4.7,Selasa_07:00-07:50
CIE62202,Teknologi Platform,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47.0,['47.0'],reguler,F3.15,Jumat_09:30-10:20
CIE62202,Teknologi Platform,Pendidikan Teknologi Informasi,1,Pengampu,16.0,['16.0'],reguler,F3.18,Rabu_12:50-13:40
CIE62202,Teknologi Platform,Pendidikan Teknologi Informasi,1,Pengampu,Belum Ada Dosen,['Belum Ada Dosen'],reguler,F2.5,Selasa_07:50-08:40
CIE62203,Pemrograman Berbasis Objek,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",98.0,['98.0'],reguler,F4.10,Kamis_10:20-11:10
CIE62203,Pemrograman Berbasis Objek,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",4.0,['4.0'],reguler,F3.14,Rabu_15:20-16:10
CIE62203,Pemrograman Berbasis Objek,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",16.0,['16.0'],reguler,F3.1,Rabu_17:50-18:40
CIE62203,Pemrograman Berbasis Objek,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",20.0,['20.0'],reguler,F9.1,Rabu_14:30-15:20
CIE62203,Pemrograman Berbasis Objek,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",52.0,['52.0'],reguler,F4.7,Selasa_17:50-18:40
CIE62203,Pemrograman Berbasis Objek,Pendidikan Teknologi Informasi,1,Pengampu,67.0,['67.0'],reguler,F3.2,Jumat_17:00-17:50
CIE62203,Pemrograman Berbasis Objek,Pendidikan Teknologi Informasi,1,Pengampu,70.0,['70.0'],reguler,F2.5,Rabu_10:20-11:10
CIE62203,Pemrograman Berbasis Objek,Pendidikan Teknologi Informasi,1,Pengampu,75.0,['75.0'],reguler,F3.4,Selasa_07:50-08:40
CIE62203,Pemrograman Berbasis Objek,Pendidikan Teknologi Informasi,1,Pengampu,76.0,['76.0'],reguler,F4.9,Selasa_10:20-11:10
CIE62203,Pemrograman Berbasis Objek,Pendidikan Teknologi Informasi,1,Pengampu,91.0,['91.0'],reguler,F3.6,Jumat_10:20-11:10
CIE62204,Paradigma Sistem,Pendidikan Teknologi Informasi,1,Pengampu,6.0,['6.0'],reguler,F9.2,Selasa_17:00-17:50
CIE62209,Pengembangan dan Manajemen Perangkat Lunak,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",16.0,['16.0'],reguler,F3.5a,Kamis_07:00-07:50
CIE62209,Pengembangan dan Manajemen Perangkat Lunak,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",47.0,['47.0'],reguler,F3.1,Jumat_15:20-16:10
CIE62209,Pengembangan dan Manajemen Perangkat Lunak,Pendidikan Teknologi Informasi,1,Pengampu,1.0,['1.0'],reguler,F4.4,Jumat_14:30-15:20
CIE62209,Pengembangan dan Manajemen Perangkat Lunak,Pendidikan Teknologi Informasi,1,Pengampu,6.0,['6.0'],reguler,F4.12,Kamis_09:30-10:20
CIE62209,Pengembangan dan Manajemen Perangkat Lunak,Pendidikan Teknologi Informasi,1,Pengampu,40.0,['40.0'],reguler,F4.6,Jumat_13:40-14:30
CIE62209,Pengembangan dan Manajemen Perangkat Lunak,Pendidikan Teknologi Informasi,1,Pengampu,60.0,['60.0'],reguler,F4.10,Senin_08:40-09:30
CIE62209,Pengembangan dan Manajemen Perangkat Lunak,Pendidikan Teknologi Informasi,1,Pengampu,67.0,['67.0'],reguler,F4.14,Selasa_17:50-18:40
CIE62209,Pengembangan dan Manajemen Perangkat Lunak,Pendidikan Teknologi Informasi,1,Pengampu,76.0,['76.0'],reguler,F3.1,Senin_09:30-10:20
CIE62209,Pengembangan dan Manajemen Perangkat Lunak,Pendidikan Teknologi Informasi,2,Pengampu,22.0,['22.0'],reguler,F3.1,Senin_07:50-08:40
CIE62209,Pengembangan dan Manajemen Perangkat Lunak,Pendidikan Teknologi Informasi,2,Pengampu,62.0,['62.0'],reguler,F2.9,Senin_16:10-17:00
CIE62209,Pengembangan dan Manajemen Perangkat Lunak,Pendidikan Teknologi Informasi,2,Pengampu,Belum Ada Dosen,['Belum Ada Dosen'],reguler,F3.3,Rabu_08:40-09:30
CIE62303,Kecerdasan Artifisial,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",92.0,['92.0'],reguler,F3.18,Senin_16:10-17:00
CIE62303,Kecerdasan Artifisial,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",94.0,['94.0'],reguler,F2.4,Jumat_10:20-11:10
CIE62303,Kecerdasan Artifisial,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",30.0,['30.0'],reguler,F3.18,Jumat_07:50-08:40
CIE62303,Kecerdasan Artifisial,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",107.0,['107.0'],reguler,F4.11,Senin_17:00-17:50
CIE62303,Kecerdasan Artifisial,Pendidikan Teknologi Informasi,1,Pengampu,16.0,['16.0'],reguler,F4.5,Rabu_10:20-11:10
CIE62303,Kecerdasan Artifisial,Pendidikan Teknologi Informasi,1,Pengampu,20.0,['20.0'],reguler,F3.16,Jumat_14:30-15:20
CIE62303,Kecerdasan Artifisial,Pendidikan Teknologi Informasi,1,Pengampu,29.0,['29.0'],reguler,F4.3,Rabu_17:50-18:40
CIE62303,Kecerdasan Artifisial,Pendidikan Teknologi Informasi,1,Pengampu,52.0,['52.0'],reguler,F3.8,Kamis_11:10-12:00
CIE62303,Kecerdasan Artifisial,Pendidikan Teknologi Informasi,1,Pengampu,97.0,['97.0'],reguler,F3.2,Selasa_11:10-12:00
CIE62305,Pembelajaran Emosional Sosial,Pendidikan Teknologi Informasi,1,Pengampu,Belum Ada Dosen,['Belum Ada Dosen'],reguler,F2.9,Jumat_07:50-08:40
CIE62305,Pembelajaran Emosional Sosial,Pendidikan Teknologi Informasi,1,Pengampu,Belum Ada Dosen,['Belum Ada Dosen'],reguler,F2.9,Rabu_12:50-13:40
CIE62306,Pembelajaran Inklusif,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47.0,['47.0'],reguler,F4.5,Kamis_15:20-16:10
CIE62306,Pembelajaran Inklusif,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",Belum Ada Dosen,['Belum Ada Dosen'],reguler,F3.1,Selasa_13:40-14:30
CIE62306,Pembelajaran Inklusif,Pendidikan Teknologi Informasi,1,Pengampu,Belum Ada Dosen,['Belum Ada Dosen'],reguler,F4.6,Kamis_17:50-18:40
