kode_mk,nama_mk,prodi,prioritas,berminat,dosen_id,dosen_list,jenis,ruang,waktu
CIE61206,Jaringan Komputer,Pendidikan Teknologi Informasi,1,Pengampu,39.0,['39.0'],reguler,F4.3,Senin_17:00-17:50
CIE61206,Jaringan Komputer,Pendidikan Teknologi Informasi,1,Pengampu,75.0,['75.0'],reguler,F3.15,Kamis_07:00-07:50
CIE61206,Jaringan Komputer,Pendidikan Teknologi Informasi,1,Pengampu,79.0,['79.0'],reguler,F3.18,Selasa_13:40-14:30
CIE61208,Basis Data,Pendidikan Teknologi Informasi,1,Pengampu,4.0,['4.0'],reguler,F2.2,Rabu_15:20-16:10
CIE61208,Basis Data,Pendidikan Teknologi Informasi,1,Pengampu,60.0,['60.0'],reguler,F3.1,Selasa_17:50-18:40
CIE61208,Basis Data,Pendidikan Teknologi Informasi,1,Pengampu,75.0,['75.0'],reguler,F3.7b,Kamis_17:00-17:50
CIE61208,Basis Data,Pendidikan Teknologi Informasi,1,Pengampu,91.0,['91.0'],reguler,F4.4,Senin_15:20-16:10
CIE61208,Basis Data,Pendidikan Teknologi Informasi,1,Pengampu,102.0,['102.0'],reguler,F3.14,Senin_11:10-12:00
CIE61208,Basis Data,Pendidikan Teknologi Informasi,1,Pengampu,108.0,['108.0'],reguler,F3.18,Kamis_12:00-12:50
CIE61215,Pengembangan Aplikasi Peranti Bergerak,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",47.0,['47.0'],reguler,F2.6,Jumat_13:40-14:30
CIE61301,Kalkulus dan Aljabar Linear,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",103.0,['103.0'],reguler,F2.6,Rabu_17:50-18:40
CIE61301,Kalkulus dan Aljabar Linear,Pendidikan Teknologi Informasi,1,Pengampu,100.0,['100.0'],reguler,F2.4,Senin_07:50-08:40
CIE61301,Kalkulus dan Aljabar Linear,Pendidikan Teknologi Informasi,2,Pengampu,75.0,['75.0'],reguler,F4.7,Senin_13:40-14:30
